Trade_ID,Symbol,Mode,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Deploy_₹,Stop_Loss,Target,Trailing_Stop,Exit_Reason,P&L_₹,P&L_%,Outcome,Portfolio_Value_After
541,APLAPOLLO,swing,2025-12-17,2025-12-17,2025-12-26,1764.5,1886.76,4,7058.0,1715.6,1886.76,1699.29,TARGET,489.04,6.93,WIN,119418.33810546866
542,UPL,swing,2025-11-07,2025-11-07,2025-12-30,740.78,778.79,9,6667.0199999999995,715.44,804.12,707.0,PROFIT_BOOKING_1,342.09,5.13,PARTIAL_WIN,113224.74810546867
543,APLAPOLLO,swing,2025-12-26,2025-12-26,2026-01-01,1886.1,1963.06,3,5658.299999999999,1834.79,2014.37,1817.69,PROFIT_BOOKING_1,230.88,4.08,PARTIAL_WIN,119113.92810546866
544,UPL,swing,2025-11-07,2025-11-07,2026-01-02,740.78,804.12,9,6667.0199999999995,715.44,804.12,707.0,TARGET,570.06,8.55,WIN,126351.00810546866
545,EICHERMOT,swing,2025-11-20,2025-11-20,2026-01-05,7125.5,7446.96,1,7125.5,6911.19,7661.27,6839.76,PROFIT_BOOKING_1,321.46,4.51,WIN,120453.64810546867
546,UNIONBANK,swing,2025-12-16,2025-12-16,2026-01-05,148.81,157.08,45,6696.45,143.29,162.6,141.45,PROFIT_BOOKING_1,372.15,5.56,PARTIAL_WIN,127522.24810546868
547,BIOCON,swing,2026-01-02,2026-01-02,2026-01-08,392.48,379.85,34,13344.32,379.85,424.05,375.65,SL,-429.42,-3.22,LOSS,127101.54810546868
548,UNOMINDA,swing,2026-01-05,2026-01-05,2026-01-08,1333.56,1287.98,10,13335.599999999999,1287.98,1447.5,1272.78,SL,-455.8,-3.42,LOSS,139981.34810546867
549,UNIONBANK,swing,2025-12-16,2025-12-16,2026-01-14,148.81,162.6,46,6845.26,143.29,162.6,141.45,TARGET,634.34,9.27,WIN,147460.94810546868
550,UNIONBANK,swing,2026-01-14,2026-01-14,2026-01-21,174.13,167.33,78,13582.14,167.33,191.12,165.07,SL,-530.4,-3.91,LOSS,146930.54810546868
551,APLAPOLLO,swing,2025-12-26,2025-12-26,2026-01-23,1886.1,2014.37,4,7544.4,1834.79,2014.37,1817.69,TARGET,513.08,6.8,WIN,141418.9081054687
552,MFSL,swing,2025-11-10,2025-11-10,2026-01-27,1619.1,1565.64,4,6476.4,1565.64,1752.74,1547.83,SL,-213.84,-3.3,LOSS,147681.4681054687
553,UNIONBANK,swing,2026-01-21,2026-01-21,2026-01-29,167.52,178.06,40,6700.8,160.5,185.09,158.16,PROFIT_BOOKING_1,421.6,6.29,PARTIAL_WIN,154803.8681054687
